FIN F311,Derivatives & Risk Mgmt,,L1,FAISAL NAZIR ZARGAR,267,M5 W5 Th9
FIN F315,Financial Management,,L1,FAISAL NAZIR ZARGAR,223,M1 T9 Th4
GS F211,Mod Political Concepts,,L1,SHAMSHAD KHAN,269,M5 W5 Th9
GS F212,Environ Dev & Climate Ch,,L1,GEETHA KANNAN,268,M1 T9 Th4
GS F332,Contemporary India,,L1,MRUTUYANJAYA SAHU,269,M1 T9 Th4
GS F376,Design Project,,1,SARTAJ RASOOL,,
GS F377,Design Project,,1,SARTAJ RASOOL,,
HSS F211,Introduction to Arabic,Arabic,L1,SHAMSHAD KHAN,229,M7 T2 Th6
HSS F222,Linguistics,,L1,SAYANTAN CHAKRABORTY,228,M7 T2 Th6
HSS F232,Intro to Dev Studies,,L1,MRUTUYANJAYA SAHU,257,M7 T2 Th6
HSS F266,Study Project,,1,SARTAJ RASOOL,,
HSS F346,International Relations,,L1,SHAMSHAD KHAN,267,M1 T9 Th4
HSS F349,Ecocriticism,,L1,SAYANTAN CHAKRABORTY,221,M1 T9 Th4
HSS F350,"Human Rights: History, Theory and Practice",Human rights,L1,MRUTUYANJAYA SAHU,268,M5 W5 Th9
HSS F365,Science of Sustainable Happiness,Happiness,L1,SHAZI S J,205,M7 T2 Th6
IS F341,Software Engineering,Software engg,L1,PRAMOD GAUR,223,M6 T7 Th3
,,,P1,PRAMOD GAUR,335,
MATH D021,Remedial Mathematics,Remedial math,L1,K KUMAR,221,M7 T6 W2 Th5
MATH F111,Mathematics I,Math I,L1,SUHEL AHMAD KHAN,101,T2 W5 Th1 F3
,,,L2,K Kumar,105,T2 W5 Th1 F5
,,,L3,TBA,123,T2 W5 Th1 F3
,,,L4,Suhel Ahmad Khan,165,M7 T6 W2 Th5
,,,L5,A Somasundaram,185,M7 T5 W2 Th5
,,,L6,TBA,190,M7 T6 W2 Th5
MATH F113,Probability & Statistics,P&S,L1,MANEESHA,165,M3 T8 W1 F5
,,,L2,Suhel Ahmad Khan,185,M5 T4 W8 F5
,,,L3,MANEESHA,190,M1 T5 W7 Th2
MATH F211,Mathematics III,Math III,L1,S BASKARAN,228,M3 T4 W4 Th5
,,,L2,S BASKARAN,220,T1 W8 Th1 F5
MATH F212,Optimization,,L1,MANEESHA,223,M5 W5 Th9
MATH F266,Study Project,,1,R ROOP KUMAR,,
MATH F366,Laboratory Project,Lab project,1,R ROOP KUMAR,,
MATH F367,Laboratory Project,Lab project,1,R ROOP KUMAR,,
MATH F376,Design Project,,1,R ROOP KUMAR,,
MATH F377,Design Project,,1,R ROOP KUMAR,,
MATH F491,Special Project,,1,R ROOP KUMAR,,
ME F112,Workshop Practice,Workshop,L1,RAVINDRA BHARDWAJ,165,T5
,,,L2,RAVINDRA BHARDWAJ,185,T3
,,,L3,RAVINDRA BHARDWAJ,190,M5
,,,P1,Ravindra Bhardwaj,MG1,M89
,,,P2,Ram Karthikeyan,MG1,T34
,,,P3,Snehaunshu Choudhury,MG1,T89
,,,P4,Gulshan Kumar,MG1,W34
,,,P5,Ravindra Bhardwaj,MG1,W89
,,,P6,Shashank Khurana,MG1,Th34
,,,P7,Gulshan Kumar,MG1,Th89
ME F211,Mechanics of Solids,,L1,PRIYANK UPADHYAYA,219,M1 T3 Th2 F5
ME F212,Fluid Mechanics,,L1,MAJID HASAN KHAN,219,T6 W9 Th4 F2
ME F216,Materials Science & Engineering,MS and engg,L1,VINCENT S KUMAR,219,M9 T8 W1 Th8
,,,P1,Vincent S Kumar,MF3,W56
ME F217,Applied Thermodynamics,Applied thermo.,L1,Snehaunshu Choudhury,219,T5 W8 Th3 F1
,,,P1,Majid Hasan Khan,MF4,M456
ME F266,Study Project,,1,PRIYANK UPADHYAYA,,
ME F314,Design of Machine Elements,,L1,RAVINDRA BHARDWAJ,276,M3 W3 Th3 F1
ME F315,Advanced Manufacturing Processes,Adv. manuf. processes,L1,HARPREET SINGH BEDI,276,M8 T5 W1
,,,P1,Harpreet Singh Bedi,MG1,F345
ME F316,Manufacturing Management,Manuf. mgmt.,L1,GULSHAN KUMAR,276,M4 T1 Th6
ME F317,"Engines, Motors and Mobility",,L1,SHASHANK KHURANA,276,T4 W8 F2
ME F366,Laboratory Project,Lab project,1,PRIYANK UPADHYAYA,,
ME F367,Laboratory Project,Lab project,1,PRIYANK UPADHYAYA,,
ME F376,Design Project,,1,PRIYANK UPADHYAYA,,
ME F377,Design Project,,1,PRIYANK UPADHYAYA,,
ME F461,Refrigeration & Aircond,,L1,HARPREET SINGH BEDI,276,T8 W4 Th8
ME F491,Special Project,,1,PRIYANK UPADHYAYA,,
MF F418,Lean Manufacturing,,L1,GULSHAN KUMAR,245,M6 T6 W6
MGTS F211,Principles of Management,PoM,L1,Sepideh S,210,M5 T5 W5
,,,L2,Aqila Begum,257,M5 T5 W5
,,,L3,Aqila Begum,334,M8 Th4 F4
PHY F110,Physics Laboratory,Phy Lab,P1,R ROOP KUMAR,309,M34
,,,P2,G Amaranath,309,M89
,,,P3,K K Singh,309,T34
,,,P4,R Roop Kumar,309,T89
,,,P5,R Roop Kumar,309,W34
,,,P6,G Amaranath,309,W89
,,,P7,K K Singh,309,Th34
,,,P8,R Roop Kumar,309,F34
PHY F111,Mech Oscillations & Wave,MOW,L1,R ROOP KUMAR,165,T1 W6 Th6 F1
,,,L2,K K Singh,185,T1 W7 Th6 F1
,,,L3,G Amaranath,190,T1 W5 Th6 F1
PHY F215,Intro to Astro & Astroph,,L1,TBA,276,M5 W5 Th9
PHY F266,Study Project,,1,R ROOP KUMAR,,
PHY F366,Laboratory Project,Lab project,1,R ROOP KUMAR,,
PHY F367,Laboratory Project,Lab project,1,R ROOP KUMAR,,
PHY F376,Design Project,,1,R ROOP KUMAR,,
PHY F377,Design Project,,1,R ROOP KUMAR,,
PHY F491,Special Project,,1,R ROOP KUMAR,,
