Course ID,Title,Short title
CS F320,Foundation of Data Science,FDS
CS F342,Computer Architecture,CA
CS F351,Theory of Computation,ToC
CS F363,Compiler Construction,CC
CS F364,Design & Anal of Algo,DAA
CS F366,Laboratory Project,Lab Proj
CS F367,Laboratory Project,Lab Proj
CS F372,Operating Systems,OS
CS F376,Design Project,Design Proj
CS F377,Design Project,Design Proj
CS F401,Multimedia Computing,Multimedia
CS F407,Artificial Intelligence,AI
CS F415,Data Mining,DM
CS F425,Deep Learning,DL
CS F429,Natural Language Processing,NLP
CS F491,Special Project,Spl Proj
CS G514,Obj Ori Analys & Design,OOAD
CS G527,Cloud Computing,Cloud Comp
DE G514,Fracture Mechanics,Fracture Mech
DE G531,Product Design,
ECE F211,Electrical Machines,Elec Mach
ECE F212,Electromagnetic Theo,EM Theory
ECE F214,Electronic Devices,ED
ECE F215,Digital Design,DD
ECE F241,Microproc & Interfacing,MPI
ECE F242,Control Systems,Control Sys
ECE F243,Signals & Systems,SS
ECE F244,Microelectronic Circuits,Microelec Circuits
ECE F266,Study Project,Study Proj
ECE F311,Communication Systems,Comm Sys
ECE F314,EM Fields & Micro Engg,EMF & Micro Engg
ECE F341,Analog Electronics,Analog Elec
ECE F343,Communication Networks,Comm Networks
ECE F344,Info Theory & Coding,ITC
ECE F366,Laboratory Project,Lab Proj
ECE F367,Laboratory Project,Lab Proj
ECE F376,Design Project,Design Proj
ECE F377,Design Project,Design Proj
ECE F432,Medical Instrumentation,Medical Instr
ECE F434,Digital Signal Process,DSP
ECE F472,Satellite Communication,Satellite Comms
ECE F491,Special Project,Spl Proj
ECOM F211,Data Structures & Algo,DSA
ECOM F213,Object Oriented Prog,OOP
ECOM F214,Electronic Devices,ED
ECOM F215,Digital Design,DD
ECOM F222,Discr Struc For Comp Sci,DS
ECOM F241,Microproc & Interfacing,MPI
ECOM F242,Control Systems,Control Sys
ECOM F243,Signals & Systems,SS
ECOM F244,Microelectronic Circuits,Microelec Circuits
ECOM F266,Study Project,Study Proj
ECON F211,Principles of Economics,PoE
ECON F212,Fund of Fin And Acc,FFA
ECON F242,Microeconomics,Microecon
ECON F312,Money Bank & Fin Markets,MBFM
ECON F412,Security Analysis and Portfolio Mgmt,SAPM
EEE F111,Electrical Sciences,ES
EEE F211,Electrical Machines,Elec Mach
EEE F212,Electromagnetic Theo,EM Theory
EEE F214,Electronic Devices,ED
EEE F215,Digital Design,DD
EEE F241,Microproc & Interfacing,MPI
EEE F242,Control Systems,Control Sys
EEE F243,Signals & Systems,SS
EEE F244,Microelectronic Circuits,Microelec Circuits
EEE F266,Study Project,Study Proj
EEE F311,Communication Systems,Comm Sys
EEE F312,Power Systems,
EEE F313,Analog & Digit VLSI Des,
EEE F341,Analog Electronics,Analog Elec
EEE F342,Power Electronics,
EEE F366,Laboratory Project,Lab Proj
EEE F367,Laboratory Project,Lab Proj
EEE F376,Design Project,Design Proj
EEE F377,Design Project,Design Proj
EEE F411,Internet of Things,IoT
EEE F417,Computer Based Control System,Comp based Control Sys
EEE F432,Medical Instrumentation,Medical Instr
EEE F472,Satellite Communication,Satellite Comms
EEE F491,Special Project,Spl Proj
EEE G544,Steadystate & Dyn of Em,SSDE
EEE G545,Control & Instru for Sys,Control & Instr
EEE G552,Solid State Drives,SSD
FIN F212,Funda of Fin and Account,FFA
FIN F311,Derivatives & Risk Mgmt,DRM
FIN F313,Security Analysis and Portfolio Mgmt,SAPM
FIN F315,Financial Management,Fin Mgmt
GS F211,Modern Political Concepts,Mod Pol
GS F212,Environ Dev & Climate Ch,EDCC
GS F232,Introductory Psychology,Psych
GS F266,Study Project,Study Proj
GS F332,Contemporary India,CI
GS F376,Design Project,Design Proj
GS F377,Design Project,Design Proj
HSS F211,Introduction to Arabic,Arabic
HSS F222,Linguistics,Lingu
HSS F232,Intro to Dev Studies,IDS
HSS F252,International Law,IL
HSS F266,Study Project,Study Proj
HSS F346,International Relations,IR
HSS F349,Ecocriticism,Ecocrit
HSS F350,"Human Rights: History, Theory and Practice",HR
HSS F354,Intro to Islamic Economy,Islamic Eco
HSS F365,Science of Sustainable Happiness,Happiness
IS F341,Software Engineering,Software Engg
MATH D021,Remedial Mathematics,Rem Math
MATH F111,Mathematics I,Math I
MATH F112,Mathematics II,Math II
