COM COD,Course ID,Course Title,Credit LPU,Section,Instructor/IC,Room,Days/Hours,MIDSEM TEST,COMRE DATE & SESSION
1334,BITS F312,NEURAL NET & FUZZY LOGIC,3 0 3,1,V KALAICHELVI,222,Th89 F5,27.10.2025 FN,31.12.2025 FN
2759,BITS F330,NEGOTIATION SKILLS AND TECHNIQUES,3*,1,DARSHITA,183,M23 W34,28.10.2025 FN,23.12.2025 FN
1592,BITS F412,PRACTICE SCHOOL II,20,1,R GOMATHI BHAVANI,,,,
1593,BITS F421T,THESIS,16,1,A SOMASUNDARAM,,,,
1616,BITS F422T,THESIS,16,1,A SOMASUNDARAM,,,,
1617,BITS F423T,THESIS,9,1,A SOMASUNDARAM,,,,
1811,BITS F441,ROBOTICS,3 0 3,1,RAM KARTHIKEYAN,207,M89,30.10.2025 FN,30.12.2025 AN
,,Practical,,1,Ram Karthikeyan,MS2,W12,,
2434,BITS F452,BLOCKCHAIN TECHNOLOGY,3,1,RAJA M,226,W89 F4,31.10.2025 FN,31.12.2025 AN
2760,BITS F459,COMPUTER VISION,3 1 4,1,ELAKKIYA RAJASEKAR,222,M23 T5,30.10.2025 FN,30.12.2025 AN
,,Practical,,1,Elakkiya Rajasekar,332,Th56,,
1339,BITS F464,MACHINE LEARNING,3 0 3,1,PRANAV M PAWAR,229,W89 F4,31.10.2025 FN,31.12.2025 AN
1797,BITS F468,NEW VENTURE CREATION,3 0 3,1,VILAS H GAIDHANE / Sreedhar Bevara,,6 to 7.30 IST,TBA,TBA
2779,BITS F471,INTRODUCTION TO LARGE LAUNGUAGE MODELS,3 0 3,1,SUJALA D SHETTY,223,M23 T5,30.10.2025 FN,30.12.2025 AN
2167,BITS G661,RESEARCH METHODOLOGY I,5,1,S RAMACHANDRAN,,,,
2983,BITS K101,PHYSICAL WELL-BEING AND CREATIVITY,1,1,TBA,,,,
1073,CE F211,MECHANICS OF SOLIDS,3 0 3,1,AKSHAY VENKATESHWARAN,219 A,M34 F34,28.10.2025 AN,23.12.2025 AN
1075,CE F213,SURVEYING,3 1 4,1,TBA,219 A,M56 Th89,27.10.2025 AN,22.12.2025 AN
,,Practical,,1,TBA,MF1,F12,,
2279,CE F230,CIVIL ENGINEERING MATERIALS,3 2 4,1,VIVEK B KARTHA,219 A,T12 W56,29.10.2025 AN,30.12.2025 AN
,,Practical,,1,Vivek B Kartha,MG2,T78,,
2280,CE F231,FLUID MECHANICS,3 0 3,1,BRIJ KISHORE PANDEY,219 A,T45 W89,30.10.2025 AN,29.12.2025 AN
1652,CE F266,STUDY PROJECT,3,1,BRIJ KISHORE PANDEY,,,,
1196,CE F312,HYDRAULIC ENGINEERING,3 1 4,1,DEEPTHI MARY DILIP,219 B,M12 Th56,28.10.2025 AN,23.12.2025 AN
,,Practical,,1,Deepthi Mary Dilip,MF4,W78,,
1197,CE F313,FOUNDATION ENGINEERING,3 0 3,1,VIVEK B KARTHA,219 B,T45 Th12,27.10.2025 AN,22.12.2025 AN
2281,CE F320,DESIGN OF REINFORCED CONCRETE STRUCTURE,3 0 3,1,AKSHAY VENKATESHWARAN,219 B,M89 T12,29.10.2025 AN,24.12.2025 AN
1667,CE F366,LABORATORY PROJECT,3,1,BRIJ KISHORE PANDEY,,,,
1737,CE F367,LABORATORY PROJECT,3,1,BRIJ KISHORE PANDEY,,,,
1686,CE F376,DESIGN PROJECT,3,1,BRIJ KISHORE PANDEY,,,,
1753,CE F377,DESIGN PROJECT,3,1,BRIJ KISHORE PANDEY,,,,
1236,CE F423,GREEN BUILDINGS & ENERGY CONSERVATION,3 0 3,1,MEGHANA S CHARDE,219 B,Th4 F34,31.10.2025 FN,31.12.2025 AN
1218,CE F425,"AIRPORT, RAILWAYS & WATERWAYS",3 0 3,1,DEEPTHI MARY DILIP,219 B,M5 W23,30.10.2025 FN,30.12.2025 AN
1711,CE F491,SPECIAL PROJECT,3,1,BRIJ KISHORE PANDEY,,,,
1069,CHE F211,CHEMICAL PROCESS CALCULA,3 0 3,1,NISHANT H PANDYA,256,M56 F12,27.10.2025 AN,22.12.2025 AN
1072,CHE F212,FLUID MECHANICS,3 0 3,1,SOUVIK K PAUL,256,M34 T56,28.10.2025 AN,23.12.2025 AN
1071,CHE F213,CHEM ENGG THERMODYNAMICS,3 0 3,1,SOUVIK K PAUL,256,W56 F34,29.10.2025 AN,30.12.2025 AN
1070,CHE F214,ENGINEERING CHEMISTRY,3 0 3,1,VIJAYA ILANGO,256,T12 Th89,30.10.2025 AN,29.12.2025 AN
1653,CHE F266,STUDY PROJECT,3,1,MURCHANA CHANGMAI,,,,
1184,CHE F311,KINETICS & REACTOR DESIG,3 0 3,1,B G PRAKASH KUMAR,277,M12 Th34,27.10.2025 AN,22.12.2025 AN
1185,CHE F312,CHEMICAL ENGG LAB I,0 3 3,1,MURCHANA CHANGMAI / B G Prakash Kumar / Nishant H Pandya,340,T234,28.10.2025 AN,23.12.2025 AN
,,,,1,MURCHANA CHANGMAI / B G Prakash Kumar / Nishant H Pandya,340,W789,,
1186,CHE F313,SEPARATION PROCESSES II,3 0 3,1,MURCHANA CHANGMAI,277,M56 Th12,29.10.2025 AN,24.12.2025 AN
