COM COD,COURSE NO.,COURSE TITLE,"CREDIT
L P U",SEC,INSTRUCTOR-IN-CHARGE/ Instructor,ROOM,DAYS/ HOURS,MIDSEM TEST,COMRE DATE & SESSION
1844,BIOT F491,SPECIAL PROJECT,3,1,NEERU SOOD,,,,
1796,BITS F462,RENEWABLE ENERGY,3 0 3,1,RAVINDRA G BHARDWAJ,245,M6 T2 F1,03.04.2024 FN,04.06.2024 AN
596,BITS C791T,TEACHING PRACTICE I,1,1,RAM KARTHIKEYAN,,,,
520,BITS C797T,PH D SEMINAR,2,1,RAM KARTHIKEYAN,,,,
553,BITS C799T,PH D THESIS,40,1,RAM KARTHIKEYAN,,,,
2101,BITS E661,RESEARCH METHODOLOGY I,5,1,RAM KARTHIKEYAN,,,,
1003,BITS F110,ENGINEERING GRAPHICS,1 2 2,,MEGHANA S CHARDE,,,04.04.2024 FN,06.06.2024 FN
,,,,1,Akshay Venkateshwaran,101,W1,,
,,,,2,Meghana S Charde,105,Th8,,
,,,,3,Deepthi Mary Dilip,123,T2,,
,,Practical,,1,Meghana S Charde,336,M89,,
,,,,2,Akshay Venkateshwaran,336,W34,,
,,,,3,Deepthi Mary Dilip,336,Th89,,
1004,BITS F111,THERMODYNAMICS,3 0 3,1,SHASHANK KHURANA,165,M1 T5 W2 Th2,02.04.2024 FN,31.05.2024 FN
,,,,2,Snehaunshu C,183,M1 T5 W2 Th2,,
,,,,3,Majid H Khan,190,M1 T5 W2 Th2,,
1005,BITS F112,TECHNICAL REPORT WRITING,2 0 2,1,SAYANTAN CHAKRABORTY,101,M6 T9,05.04.2024 FN,07.06.2024 FN
,,,,2,Shazi S J,105,M6 T9,,
,,,,3,Sayantan Chakraborty,101,W5 Th2,,
,,,,4,Shazi S J,105,W5 Th2,,
1632,BITS F225,ENVIRONMENTAL STUDIES,3 0 3,1,VIJAYA ILANGO,210,M6 T1 Th6,04.04.2024 FN,04.06.2024 AN
,,,,2,Rusal Raj,257,M6 T1 Th6,,
,,,,3,Geetha,229,T1 Th6 F3,,
,,,,4,Geetha,205,T4 W4 Th2,,
1334,BITS F312,NEURAL NET & FUZZY LOGIC,3 0 3,1,KALAICHELVI,223,T1 Th7 F5,04.04.2024 FN,07.06.2024 FN
1592,BITS F412,PRACTICE SCHOOL II,20,1,A SOMASUNDARAM,,,,
1808,BITS F416,INTRO TO NANOSCIENCE,3 0 3,1,K K SINGH,226,T1 Th7 F5,04.04.2024 FN,07.06.2024 FN
1593,BITS F421T,THESIS,16,1,K KUMAR,,,,
1616,BITS F422T,THESIS,16,1,K KUMAR,,,,
1617,BITS F423T,THESIS,9,1,K KUMAR,,,,
1629,BITS F441T,SEMINAR,1,1,RAM KARTHIKEYAN,,,,
2434,BITS F452,BLOCKCHAIN TECHNOLOGY,3 0 3,1,RAJA M,267,M2 T7 W1,01.04.2024 FN,30.05.2024 FN
1339,BITS F464,MACHINE LEARNING,3 0 3,1,PRANAV MOTABHAU PAWAR,219,M2 T7 W1,01.04.2024 FN,30.05.2024 FN
1191,CE F241,ANALYSIS OF STRUCTURES,3 0 3,1,VIVEK B,222,M6 W6 Th3 F3,29.03.2024 FN,29.05.2024 FN
1192,CE F242,CONSTRUCTION PLAN & TECH,3 0 3,1,MEGHANA S CHARDE,222,M2 T3 Th6 F1,01.04.2024 AN,31.05.2024 FN
1193,CE F243,SOIL MECHANICS,3 1 4,1,VIVEK B,222,M8 T6 W4 Th1,03.04.2024 AN,03.06.2024 AN
,,Practical,,1,Vivek B,MF5,T89,,
1194,CE F244,HIGHWAY ENGINEERING,3 1 4,1,DEEPTHI MARY DILIP,222,M1 T5 W3 Th4,04.04.2024 AN,05.06.2024 AN
